N,nbFun,estParam,counteval,success,nbSplit,nbMerge,dt,ft,cdiv,recovery,tooYoung,mud,maxV
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
6, 2, recovery, 3267.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
6, 2, recovery, 3267.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
7, 1, recovery, 4455.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
6, 2, recovery, 3267.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
6, 2, recovery, 3267.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
4, 3, recovery, 2920.000000, 1, 6, 6, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
8, 3, recovery, 5540.000000, 1, 0, 0, 1.605937, 0.577152, 0.500000, 0, 10, 2, 10
